Year,State,Measure
YEAR,STATE,RATE
2015,KY,17.1
2015,LA,15.2
2015,ME,16.0
2015,MD,8.8
2015,MA,8.9
2015,MI,13.8
2015,MN,13.2
2015,MS,14.0
2015,MO,17.1
2015,MT,25.3
2015,NE,11.7
2015,NV,18.4
2015,NH,16.5
2015,NJ,8.3
2015,NM,23.7
2015,NY,7.8
2015,NC,13.4
2015,ND,17.5
2015,OH,13.9
2015,OK,20.3
2015,OR,17.8
2015,PA,14.0
2015,RI,11.2
2015,SC,14.8
2015,SD,20.4
2015,TN,15.7
2015,TX,12.5
2015,UT,22.4
2015,VT,14.8
2015,VA,12.7
2015,WA,15.4
2015,WV,17.4
2015,WI,14.7
2015,WY,28.0
2014,AL,14.5
2014,AK,22.1
2014,AZ,18.0
2014,AR,17.3
2014,CA,10.5
2014,CO,19.9
2014,CT,9.8
2014,DE,13.2
2014,FL,13.9
2014,GA,12.6
2014,HI,13.8
2014,ID,20.0
2014,IL,10.5
2014,IN,14.3
2014,IA,12.9
2014,KS,15.7
2014,KY,15.9
2014,LA,14.3
2014,ME,15.7
2014,MD,9.8
2014,MA,8.2
2014,MI,13.3
2014,MN,12.2
2014,MS,12.5
2014,MO,16.3
2014,MT,23.9
2014,NE,13.4
2014,NV,19.6
2014,NH,17.8
2014,NJ,8.3
2014,NM,21.0
2014,NY,8.1
2014,NC,13.0
2014,ND,17.8
2014,OH,12.6
2014,OK,19.1
2014,OR,18.6
2014,PA,13.3
2014,RI,10.1
2014,SC,15.2
2014,SD,17.1
2014,TN,14.1
2014,TX,12.2
2014,UT,20.5
2014,VT,18.7
2014,VA,12.9
2014,WA,15.2
2014,WV,18.1
2014,WI,13.1
2014,WY,20.6
2005,AL,11.5
2005,AK,19.9
2005,AZ,16.4
2005,AR,14.3
2005,CA,9.1
2005,CO,17.2
2005,CT,8.1
2005,DE,9.7
2005,FL,12.5
2005,GA,10.6
2005,HI,8.2
2005,ID,16.5
2005,IL,8.6
2005,IN,11.8
2005,IA,11.2
2005,KS,13.3
2005,KY,13.4
2005,LA,11.0
2005,ME,12.4
2005,MD,8.4
2005,MA,7.2
2005,MI,11.0
2005,MN,10.5
2005,MS,12.7
2005,MO,12.5
2005,MT,21.7
2005,NE,10.9
2005,NV,19.8
2005,NH,12.0
2005,NJ,6.1
2005,NM,17.8
2005,NY,6.0
2005,NC,11.5
2005,ND,13.7
2005,OH,11.5
2005,OK,14.8
2005,OR,14.9
2005,PA,11.1
2005,RI,6.3
2005,SC,11.8
2005,SD,15.4
2005,TN,14.0
2005,TX,10.9
2005,UT,15.4
2005,VT,12.5
2005,VA,11.2
2005,WA,12.8
2005,WV,13.2
2005,WI,11.6
2005,WY,17.3
